"Campaign","Ad group","Keyword","Match type","Status"
"DEV - Madinet Masr - Search - Mobile","Talala - EN","Talala","Exact","Enabled"
"DEV - Madinet Masr - Search - Mobile","The Butterfly - EN","The Butterfly","Exact","Enabled"
"DEV - Madinet Masr - Search - Mobile","The Butterfly - AR","ذا بترفلاى","Exact","Enabled"
"DEV - Madinet Masr - Search - Mobile","Club Views - Sarai - AR","كلوب فيوز - سراى","Exact","Enabled"
"DEV - Madinet Masr - Search - Mobile","Club Views - Sarai - EN","Club Views - Sarai","Exact","Enabled"
"DEV - Sky AD Developments - Search - Mobile","Bluetree - EN","Bluetree","Exact","Enabled"
"DEV - Sky AD Developments - Search - Mobile","Sky North - AR","سكاى نورث","Exact","Enabled"
"DEV - Sky AD Developments - Search - Mobile","Capital avenue - AR","كابيتال افينيو","Exact","Enabled"
"DEV - Inertia Egypt - Search - Mobile","Quayside - AR","كيسايد","Exact","Enabled"
"DEV - Inertia Egypt - Search - Mobile","The Peak Joulz - EN","The Peak Joulz","Exact","Enabled"
"DEV - Orascom Development Egypt - Search - Mobile","Parkside - Owest - EN","Parkside - Owest","Exact","Enabled"
"DEV - Inertia Egypt - Search - Mobile","Quayside - EN","Quayside","Exact","Enabled"
"DEV - Orascom Development Egypt - Search - Mobile","Midyard - EN","Midyard","Exact","Enabled"
"DEV - Sky AD Developments - Search - Mobile","Sky North - EN","Sky North","Exact","Enabled"
"DEV - Inertia Egypt - Search - Mobile","Ayla Jefaira - EN","Ayla Jefaira","Exact","Enabled"
"DEV - Sky AD Developments - Search - Mobile","Blue Walk - AR","بلو ووك","Exact","Enabled"
"DEV - Orascom Development Egypt - Search - Mobile","Core - AR","كور","Exact","Enabled"
"DEV - Orascom Development Egypt - Search - Mobile","O Views - EN","O Views","Exact","Enabled"
"DEV - Sky AD Developments - Search - Mobile","Bluetree - AR","بلوتري","Exact","Enabled"
"DEV - Orascom Development Egypt - Search - Mobile","Core - EN","Core","Exact","Enabled"
"DEV - Inertia Egypt - Search - Mobile","Vaya - Jefaira - AR","فايا - جيفيرا","Exact","Enabled"
"DEV - Orascom Development Egypt - Search - Mobile","Midyard - AR","ميديارد","Exact","Enabled"
"DEV - Inertia Egypt - Search - Mobile","The Peak Joulz - AR","جولز ذا بيك","Exact","Enabled"
"DEV - SODIC - Search - Mobile","East Vale - AR","ايست فالى","Exact","Enabled"
"DEV - SODIC - Search - Mobile","Karmell New Zayed - EN","Karmell New Zayed","Exact","Enabled"
"DEV - SODIC - Search - Mobile","The Estates Residence - EN","The Estates Residence","Exact","Enabled"
"DEV - SODIC - Search - Mobile","Karmell New Zayed - AR","كارميل زايد الجديدة","Exact","Enabled"
"DEV - SODIC - Search - Mobile","Ogami Ras El Hekma - AR","أوجامي رأس الحكمة","Exact","Enabled"
"DEV - SODIC - Search - Mobile","East Vale - EN","East Vale","Exact","Enabled"
"DEV - SODIC - Search - Mobile","The Estates Residence - AR","استيتس ريزيدينس","Exact","Enabled"
"DEV - SODIC - Search - Mobile","Ogami Ras El Hekma - EN","Ogami Ras El Hekma","Exact","Enabled"
"DEV - City Edge Developments - Search - Mobile","Mazarine Chalet Extension - AR","مزارين شاليه اكستنشن","Exact","Enabled"
"DEV - Taj Misr Developments - Search - Mobile","De Joya 4 - AR","دي جويا 4","Exact","Enabled"
"DEV - City Edge Developments - Search - Mobile","Mazarine - AR","مزارين","Exact","Enabled"
"DEV - City Edge Developments - Search - Mobile","Il Latini City Edge - AR","الحي اللاتيني سيتي ايدج","Exact","Enabled"
"DEV - City Edge Developments - Search - Mobile","Mazarine - EN","Mazarine","Exact","Enabled"
"DEV - EGYGAB - Search - Mobile","Masaya - AR","مسايا","Exact","Enabled"
"DEV - EGYGAB - Search - Mobile","The Islands - EN","The Islands","Exact","Enabled"
"DEV - EGYGAB - Search - Mobile","The Median Residences - AR","ذا ميديان ريزيدنسز","Exact","Enabled"
"DEV - EGYGAB - Search - Mobile","The Islands - AR","ذا أيلاندز","Exact","Enabled"
"DEV - EGYGAB - Search - Mobile","Masaya - EN","Masaya","Exact","Enabled"
"DEV - EGYGAB - Search - Mobile","The Median Residences - EN","The Median Residences","Exact","Enabled"
"DEV - Gates Development - Search - Mobile","Lugar - EN","Lugar","Exact","Enabled"
"DEV - Better Home - Search - Mobile","Midtown Sky - EN","Midtown Sky","Exact","Enabled"
"DEV - Better Home - Search - Mobile","Midtown Sky - AR","ميد تاون سكاي","Exact","Enabled"
"DEV - Saudi Egyptian Developers (SED) - Search - Mobile","Bleu Vert - AR","بلو فيرت","Exact","Enabled"
"DEV - Better Home - Search - Mobile","Cairo Business Plaza - EN","Cairo Business Plaza","Exact","Enabled"
"DEV - Saudi Egyptian Developers (SED) - Search - Mobile","Marina 8 By The Lake - EN","Marina 8 By The Lake","Exact","Enabled"
"DEV - Better Home - Search - Mobile","Midtown Sky Mall - AR","ميد تاون سكاي مول","Exact","Enabled"
"DEV - Gates Development - Search - Mobile","Lyv Caesar - Ras El Hekma - AR","ليف سيزار - راس الحكمة","Exact","Enabled"
"DEV - Orascom Development Egypt - Search - Mobile","O Views - AR","او فيوز","Exact","Enabled"
"DEV - Orascom Development Egypt - Search - Mobile","Parkside - Owest - AR","بارك سايد - أو ويست","Exact","Enabled"
"DEV - Sky AD Developments - Search - Mobile","Blue Walk - EN","Blue Walk","Exact","Enabled"
"DEV - Inertia Egypt - Search - Mobile","Vaya - Jefaira - EN","Vaya - Jefaira","Exact","Enabled"
"DEV - Sky AD Developments - Search - Mobile","Capital avenue - EN","Capital avenue","Exact","Enabled"
"DEV - Inertia Egypt - Search - Mobile","Ayla Jefaira - AR","ايلا جيفيرا","Exact","Enabled"
"DEV - New Plan - Search - Mobile","Talah - EN","Talah compound","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","VILLAGE DE LA CAPITALE - EN","VILLAGE DE LA CAPITALE compound","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - EN","Lagoons New Capital compound","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - AR","مدن النهر الاخضر تاور اسعار","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - EN","PX-Phase One compound","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - EN","Lagoons New Capital compound","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - AR","كمبوند مدن النهر الاخضر تاور","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - AR","كمبوند مدن النهر الاخضر تاور","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - EN","PX-Phase One compound","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Talah - EN","Talah compound","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - EN","PX-Phase One prices","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","PX-Phase One - EN","PX-Phase One prices","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - EN","Lagoons New Capital prices","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Lagoons New Capital - EN","Lagoons New Capital prices","Exact","Removed"
"DEV - New Plan - Search - Mobile","Talah - EN","Talah prices","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - AR","مدن النهر الاخضر تاور اسعار","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","VILLAGE DE LA CAPITALE - EN","VILLAGE DE LA CAPITALE compound","Exact","Removed"
"DEV - New Plan - Search - Mobile","Talah - EN","Talah prices","Exact","Removed"
"DEV - New Plan - Search - Mobile","Tonino Lamborghini Residences - EN","Tonino Lamborghini Residences compound","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Atika - AR","أتيكا اسعار","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - AR","جريان المرحلة الاولى اسعار","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - AR","جريان المرحلة الاولى اسعار","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - EN","Hacienda Waters prices","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Atika - EN","Atika compound","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - EN","Hacienda Waters prices","Exact","Removed"
"DEV - New Plan - Search - Mobile","Atika - EN","Atika prices","Exact","Removed"
"DEV - New Plan - Search - Mobile","Atika - EN","Atika compound","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - EN","Boutique Village 2 compound","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - EN","Hacienda Waters compound","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - EN","Boutique Village 2 prices","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Tonino Lamborghini Residences - EN","Tonino Lamborghini Residences compound","Exact","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - AR","كمبوند جريان المرحلة الاولى","Exact","Removed"
"DEV - New Plan - Search - Mobile","Atika - EN","Atika prices","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Jirian-Phase One - AR","كمبوند جريان المرحلة الاولى","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - EN","Boutique Village 2 compound","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Atika - AR","أتيكا اسعار","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - EN","Boutique Village 2 prices","Exact","Removed"
"DEV - New Plan - Search - Mobile","Atika - AR","كمبوند أتيكا","Exact","Removed"
"DEV - New Plan - Search - Mobile","Atika - AR","كمبوند أتيكا","Phrase","Removed"
"DEV - Palm Hills Developments - Search - Mobile","Hacienda Waters - EN","Hacienda Waters compound","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Talah - AR","كمبوند طله","Exact","Removed"
"DEV - New Plan - Search - Mobile","Tonino Lamborghini Residences - AR","كمبوند تونينو لامبورجيني ريزيدنس","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - AR","بوتيك فيلدج 2 اسعار","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Talah - AR","طله اسعار","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - AR","كمبوند بوتيك فيلدج 2","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - AR","بوتيك فيلدج 2 اسعار","Exact","Removed"
"DEV - New Plan - Search - Mobile","Talah - AR","طله اسعار","Phrase","Removed"
"DEV - New Plan - Search - Mobile","Talah - AR","كمبوند طله","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Boutique Village 2 - AR","كمبوند بوتيك فيلدج 2","Exact","Removed"
"DEV - New Plan - Search - Mobile","Tonino Lamborghini Residences - AR","كمبوند تونينو لامبورجيني ريزيدنس","Exact","Removed"
"DEV - New Plan - Search - Mobile","Amara - AR","كمبوند امارا","Exact","Removed"
"DEV - City Edge Developments - Search - Mobile","New Garden City - AR","نيو جاردن سيتى اسعار","Exact","Removed"
"DEV - City Edge Developments - Search - Mobile","New Garden City - AR","كمبوند نيو جاردن سيتى","Phrase","Removed"
"DEV - City Edge Developments - Search - Mobile","Il Latini City Edge - EN","Il Latini City Edge prices","Exact","Removed"
"DEV - City Edge Developments - Search - Mobile","New Garden City - AR","نيو جاردن سيتى اسعار","Phrase","Removed"
"DEV - City Edge Developments - Search - Mobile","Il Latini City Edge - EN","Il Latini City Edge prices","Phrase","Removed"
"DEV - City Edge Developments - Search - Mobile","Il Latini City Edge - EN","Il Latini City Edge compound","Phrase","Removed"
"DEV - City Edge Developments - Search - Mobile","New Garden City - AR","كمبوند نيو جاردن سيتى","Exact","Removed"
"DEV - City Edge Developments - Search - Mobile","Il Latini City Edge - EN","Il Latini City Edge compound","Exact","Removed"
"DEV - City Edge Developments - Search - Mobile","New Garden City - EN","New Garden City compound","Phrase","Removed"
"DEV - City Edge Developments - Search - Mobile","New Garden City - EN","New Garden City prices","Phrase","Removed"
"DEV - City Edge Developments - Search - Mobile","New Garden City - EN","New Garden City compound","Exact","Removed"
"DEV - City Edge Developments - Search - Mobile","New Garden City - EN","New Garden City prices","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - EN","Dejoya Residence prices","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - EN","Dejoya Residence compound","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - EN","Dejoya Residence compound","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower 2 - AR","كمبوند تاج تاور 2","Phrase","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Taj Tower 2 - AR","كمبوند تاج تاور 2","Exact","Removed"
"DEV - Taj Misr Developments - Search - Mobile","Dejoya Residence - EN","Dejoya Residence prices","Exact","Removed"
